urn	establishment-type	establishment-group-type
116461	Community School	LA maintained schools
116462	Foundation School	LA maintained schools
116463	Community School	LA maintained schools
116464	Community School	LA maintained schools
116465	Community School	LA maintained schools
116466	Community School	LA maintained schools
116467	Community School	LA maintained schools
116468	Community School	LA maintained schools
116469	Community School	LA maintained schools
116470	Community School	LA maintained schools
116471	Community School	LA maintained schools
116472	Foundation School	LA maintained schools
116473	Community School	LA maintained schools
116474	Foundation School	LA maintained schools
116475	Community School	LA maintained schools
116476	Community School	LA maintained schools
116477	Voluntary Controlled School	LA maintained schools
116478	Voluntary Aided School	LA maintained schools
116479	Voluntary Aided School	LA maintained schools
116480	Foundation School	LA maintained schools
116481	Foundation School	LA maintained schools
116482	Foundation School	LA maintained schools
116483	Foundation School	LA maintained schools
116484	Voluntary Aided School	LA maintained schools
116485	Foundation School	LA maintained schools
116486	Voluntary Aided School	LA maintained schools
116487	Voluntary Aided School	LA maintained schools
116488	Foundation School	LA maintained schools
116489	Voluntary Aided School	LA maintained schools
116490	Foundation School	LA maintained schools
116491	Foundation School	LA maintained schools
116492	Voluntary Aided School	LA maintained schools
116493	Foundation School	LA maintained schools
116494	Foundation School	LA maintained schools
116495	Foundation School	LA maintained schools
116496	Foundation School	LA maintained schools
116497	Foundation School	LA maintained schools
116498	Foundation School	LA maintained schools
116499	Foundation School	LA maintained schools
116500	Foundation School	LA maintained schools
116501	Foundation School	LA maintained schools
116502	Foundation School	LA maintained schools
